Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
45,45,4,0,"Pothole:conf=0.8257,bbox=(422,380,636,452),diameter=143.0px | Pothole:conf=0.7869,bbox=(733,241,869,271),diameter=83.0px | Pothole:conf=0.772,bbox=(582,451,842,536),diameter=172.5px | Pothole:conf=0.7568,bbox=(669,608,1038,733),diameter=247.0px",None
46,46,3,0,"Pothole:conf=0.8862,bbox=(643,670,1058,810),diameter=277.5px | Pothole:conf=0.8424,bbox=(377,390,627,481),diameter=170.5px | Pothole:conf=0.8096,bbox=(546,477,840,576),diameter=196.5px",None
47,47,3,0,"Pothole:conf=0.9017,bbox=(365,408,612,491),diameter=165.0px | Pothole:conf=0.8819,bbox=(628,746,1109,898),diameter=316.5px | Pothole:conf=0.8443,bbox=(1353,451,1565,501),diameter=131.0px",None
48,48,2,0,"Pothole:conf=0.8629,bbox=(302,433,593,544),diameter=201.0px | Pothole:conf=0.8156,bbox=(487,547,840,668),diameter=237.0px",None
49,49,2,0,"Pothole:conf=0.9052,bbox=(282,451,568,571),diameter=203.0px | Pothole:conf=0.8643,bbox=(455,593,843,723),diameter=259.0px",None
50,50,3,0,"Pothole:conf=0.9386,bbox=(255,481,541,601),diameter=203.0px | Pothole:conf=0.8992,bbox=(415,668,854,805),diameter=288.0px | Pothole:conf=0.8691,bbox=(727,257,891,297),diameter=102.0px",None
51,51,4,0,"Pothole:conf=0.8882,bbox=(194,533,521,675),diameter=234.5px | Pothole:conf=0.8877,bbox=(323,775,885,949),diameter=368.0px | Pothole:conf=0.8848,bbox=(1583,580,1913,683),diameter=216.5px | Pothole:conf=0.8238,bbox=(722,265,884,303),diameter=100.0px",None
52,52,3,0,"Pothole:conf=0.851,bbox=(1602,481,1912,591),diameter=210.0px | Pothole:conf=0.8347,bbox=(728,273,887,309),diameter=97.5px | Pothole:conf=0.7531,bbox=(136,577,482,750),diameter=259.5px",None
53,53,2,0,"Pothole:conf=0.8686,bbox=(720,273,893,312),diameter=106.0px | Pothole:conf=0.8161,bbox=(1668,499,1913,622),diameter=184.0px",None
54,54,2,0,"Pothole:conf=0.8922,bbox=(0,698,401,919),diameter=311.0px | Pothole:conf=0.8439,bbox=(703,278,911,331),diameter=130.5px",None
55,55,2,0,"Pothole:conf=0.7778,bbox=(694,289,914,341),diameter=136.0px | Pothole:conf=0.7578,bbox=(1,786,341,1025),diameter=289.5px",None
56,56,1,0,"Pothole:conf=0.8844,bbox=(684,296,925,361),diameter=153.0px",None
57,57,1,0,"Pothole:conf=0.9012,bbox=(689,300,929,369),diameter=154.5px",None
58,58,1,0,"Pothole:conf=0.8064,bbox=(685,312,932,371),diameter=153.0px",None
59,59,1,0,"Pothole:conf=0.7912,bbox=(687,320,1009,389),diameter=195.5px",None
60,60,0,0,None,None
61,61,0,0,None,None
62,62,0,0,None,None
63,63,0,0,None,None
64,64,1,0,"Pothole:conf=0.7555,bbox=(1235,329,1781,428),diameter=322.5px",None
65,65,1,0,"Pothole:conf=0.8236,bbox=(1254,341,1833,445),diameter=341.5px",None
66,66,2,0,"Pothole:conf=0.8185,bbox=(1280,361,1903,473),diameter=367.5px | Pothole:conf=0.7587,bbox=(697,478,1083,587),diameter=247.5px",None
